SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,ARIZONA,AZ,Telesis Preparatory,40024803089,2598 Starlite Lane,,,Lake Havasu City,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Southern Arizona Community High School,40025402074,2470 North Tucson Boulevard,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Tucson Country Day School,40025502075,9239 E. Wrightstown Road,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Carden of Tucson,40025802079,5260 N. Royal Palm Drive,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Southgate Academy,40025902080,850 W. Valencia Rd.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Eastpointe High School,40026101916,8495 E. Broadway,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Patagonia Montessori School,40026302083,500 North Third Avenue,,,Patagonia,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Montessori De Santa Cruz - St. Ann's Hall,40026402084,2231 E. Frontage Rd.,,,Tubac,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,PACE Preparatory Academy,40026602089,6711 East 2nd Street,,,Prescott Valley,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Valley Preparatory Academy,40026702091,2150 Southern Avenue,,,Tempe,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Desert View Academy,40026802092,2363 South Kennedy Lane,,,Yuma,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Student Choice High School,40027302013,1833 N. Scottsdale Road,,,Tempe,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Student Choice High School,40027303184,8194 W. Deer Valley Rd,,,Peoria,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,RCB Medical Arts Academy,40027402020,6049 N. 43rd Ave,,,Phoenix,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Highland Free School,40027502077,510 S. Highland Ave.,,,Tucson,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Academy with Community Partners,40027601841,433 N Hall,,,Mesa,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Deer Valley Academy,40027802168,18424 N. 51st Ave,,,Glendale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Imagine West Gilbert Elementary,40027902170,2061 S. Gilbert Rd.,,,Gilbert,AZ,1,Open,Yes,KG,05,Elementary
2016-2017,ARIZONA,AZ,Mohave Accelerated Learning Center,40028002186,625 Marina Blvd.,,,Bullhead City,AZ,1,Open,Yes,06,12,Other
2016-2017,ARIZONA,AZ,Masada Charter School,40028102187,365 West Cannon Avenue,,,Colorado City,AZ,1,Open,Yes,KG,09,Other
2016-2017,ARIZONA,AZ,Harvest Preparatory Academy,40028202232,350 E. 18th Street,,,Yuma,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Harvest Preparatory Academy  San Luis AZ,40028202993,1044 N. 10th Avenue,,,San Luis,AZ,1,Open,Yes,KG,07,Elementary
2016-2017,ARIZONA,AZ,Harvest Preparatory Academy  Goodyear,40028203457,14900 W. Van Buren St.,,,Goodyear,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Omega Alpha Academy School,40028402095,1402 San Antonio,,,Douglas,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Montessori House Charter School,40028502173,2415 N. Terrace Circle,,,Mesa,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Premier Charter High School,40028802176,7544 W. Indian School Rd. Suit,Suite 2A,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Pan-American Charter School,40029002177,3001 W. Indian School,,,Phoenix,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Pepe Barron Middle School,40029602209,2797 N. Introspect Drive,,,Tucson,AZ,1,Open,Yes,03,08,Elementary
2016-2017,ARIZONA,AZ,Legacy Elementary School,40029802143,7618 E. University Dr.,,,Mesa,AZ,1,Open,Yes,KG,10,Other
2016-2017,ARIZONA,AZ,Visions Unlimited Academy,40029902099,1275 East Barney Lane,,,Benson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Arizona Preparatory Academy,40030302181,10720 W Indian School Rd.,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Cyber High School,40030303307,10443 N Cave Creek Road,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Calibre Academy Surprise,40031002370,15688 West Acoma Lane,,,Surprise,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,E-Institute at Union Hills,40031102151,3515 West Union Hills,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,E-Institute at Metro,40031102919,9201 N. 29th Ave,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,E-Institute at Grovers,40031103001,4744 W. Grovers Avenue,,,Glendale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,E-Institute at Surprise,40031103144,16578 W Greenway Rd,,,Surprise,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,E-Institute at Buckeye,40031103186,6213 S. Miller Ave.,,,Buckeye,AZ,1,Open,Yes,09,12,High
